user_id,item_name,raiting
76561198016753953,HAWKEN,5
smegmyfoodle,Besiege,5
76561198057869849,Stranded Deep,5
76561198058836921,Starbound,5
lol_ursuchanoob,PAYDAY 2,1
AMV72,To the Moon,5
76561198085956238,Ace of Spades,1
76561198132540690,Counter-Strike: Global Offensive,1
711armageddoncarmageddon,Monaco,3
76561198034868596,FINAL FANTASY X/X-2 HD Remaster,5
Andraison,Rock of Ages,1
76561198055790408,Crusader Kings II,5
76561198069560699,Left 4 Dead 2,5
76561198099625419,Warframe,3
76561198084032274,Heroes & Generals,1
Angrovar,Spore,5
AngryAinsley,Double Action: Boogaloo,5
uradumbtit,Always Sometimes Monsters,3
76561198037038784,Space Pirates and Zombies 2,5
IKillNoobsFirst,Counter-Strike: Global Offensive,5
76561198037888300,fault - milestone two side:above,5
1234865654,Fallout: New Vegas,5
76561198084123358,Star Trek Online,5
Apachehavoc,Arma 3,2
ApexNZ,Super Hexagon,5
76561198039441595,Monaco,2
76561198036687918,Fallout 4,3
benjamin27,Counter-Strike: Global Offensive,3
AppoGetsSuperAdmin,The Lord of the Rings Online™,3
76561198071475367,Midnight Club II,5
76561198049916759,Grim Dawn,5
76561198065064829,Chivalry: Medieval Warfare,5
XABLAUziitu,Gear Up,4
76561198012909706,Dungeonland,5
dragonchief,Rust,4
76561198040530605,Melody's Escape,5
76561197974500703,Borderlands,1
76561198047185525,South Park™: The Stick of Truth™,5
sweep6060,Undertale,1
76561198021244661,Terraria,5
76561198088538797,Blacklight: Retribution,5
deployablearchnagel,Fistful of Frags,3
armouredmarshmallow,Assassin's Creed II,5
76561198020928326,Half-Life,1
Array71,EVE Online,1
76561198039874575,DayZ,1
arronlim13,Spiral Knights,5
ARTHERDUNGER10,The Binding of Isaac: Rebirth,5
Mackus1011,Starbound,5
76561198041877981,Bloody Good Time,2
ARZARNAR,Kerbal Space Program,5
darkmassieh,Dead Space 2,5
asianturtlefrenzy,Kingdom Rush,5
76561198082992295,Garry's Mod,1
LaLocaDeLosDulces,Counter-Strike: Condition Zero,3
76561198064352761,"Warhammer® 40,000™: Dawn of War® II – Retribution™",5
assassin_warman,Hyper Light Drifter,1
Astrelt,Time Clickers,5
76561198091740831,Scrap Mechanic,3
AtomicWoodchuck,DiRT Rally,1
Swish0009,PAYDAY 2,1
Aurora99,The Elder Scrolls V: Skyrim,3
76561198053071988,Grand Theft Auto V,1
76561198083375450,Sacred 2 Gold,1
scroopy22,Blood Bowl 2,5
auzmoz,Children of the Nile,1
auzzie_96,Endless Legend,5
fatrangacuntnolifevirgin,Call of Duty: Black Ops II,5
76561198064150679,The Witcher 2: Assassins of Kings Enhanced Edition,5
76561198110293299,Goat Simulator,5
de_triggered,Lambda Wars Beta,1
76561198071748311,Undertale,5
Azrafael,The Incredible Adventures of Van Helsing,3
-Azsael-,Galactic Civilizations III,1
76561198076301023,7 Days to Die,1
hoarbiscuit,Saints Row: The Third,5
bohgeraltofrivia,Dead Sky,5
TeH-B-Rad,Counter-Strike: Global Offensive,3
BAW_Killer,DayZ,3
gamerdude7892,Fallout: New Vegas,5
BBBirb,Garry's Mod,5
76561197998761331,Fractured Space,5
76561198064579722,Garry's Mod,5
76561198096750939,Garry's Mod,3
potatoskins,Far Cry® 3 Blood Dragon,5
crispymemesmantheyremyfavourite,Warframe,5
76561198074409406,WARMODE,1
H-Alo,Besiege,3
420Blz,Arma 3,5
76561198076548816,Realm of the Mad God,1
chillrend,DayZ,5
lukeyturley,Counter-Strike: Global Offensive,5
PolygonCloud,Chronicle: RuneScape Legends,5
BOB_200,Geometry Wars: Retro Evolved,3
76561198070735033,Crazy Cars - Hit the Road,2
76561198018560501,Empire: Total War,5
76561198069458790,Counter-Strike: Global Offensive,3
76561198051148175,PAYDAY 2,1
76561198047208452,Far Cry® 3,5
generalale,Thief,1
76561198071234254,Realm of the Mad God,3
76561198165870150,The Elder Scrolls V: Skyrim,1
76561197988934555,War Thunder,1
Infixation,Hero of the Kingdom II,5
76561198071162228,PAYDAY 2,5
76561198047304525,Hammerwatch,1
76561197994969639,Dead Island,5
JuanManSnipez,Counter-Strike: Global Offensive,5
Ben_Andy,Cannons Lasers Rockets,1
Bennysaputra,Counter-Strike,1
76561198067021476,Counter-Strike: Global Offensive,1
76561198190487725,Rust,5
76561198045071942,Fractured Space,5
Bhappiikhat,Unturned,5
Ahahahahahahahahahahahahahahaha,Clicker Heroes,3
BITCHPLESE,H1Z1: Just Survive,1
Too_1337,Half-Life 2,5
kinglemon1222,Mount & Blade: Warband,5
76561198030636321,Cities: Skylines,1
76561198007342405,Total War: WARHAMMER,5
IJustWantedToTalk,Garry's Mod,5
76561198081885254,Fistful of Frags,3
76561198034643189,Spintires,1
LlamasInNigjamas,Counter-Strike: Global Offensive,1
mavros88,Ghost in the Shell Stand Alone Complex First Assault Online,1
76561198035363871,Dead by Daylight,4
Hummingsenpai,Dirty Bomb,5
CHAAANG,Aliens vs. Predator,1
76561198056980314,War Thunder,5
bitmat,Infinifactory,5
76561198028483487,Pinball Arcade,5
Ghoster09,Gotham City Impostors: Free To Play,3
76561198081496844,STAR WARS™ Battlefront™ II,5
Barridos,Garry's Mod,3
Blackhawk611,Total War: WARHAMMER,5
76561197988863895,Contagion,1
76561198042728201,DayZ,5
hbk1462,Garry's Mod,5
76561198057521157,Reign Of Kings,5
76561198053766465,DARK SOULS III,5
76561198057389499,Insurgency,5
FHK,Transistor,5
Bluegills,Crawl,5
76561197970931849,REDCON,5
rrbr,Rise of Flight United,1
13lazer,Arma 2: Operation Arrowhead,3
76561198044344399,Dead Realm,3
76561197999613236,7 Days to Die,5
RespekPlox,The Elder Scrolls V: Skyrim,5
76561198062288797,Dirty Bomb,5
bobseagull,Counter-Strike: Global Offensive,5
bokkkbokkk,ARK: Survival Evolved,3
Bonesdontrattlethem,DARK SOULS™ II: Scholar of the First Sin,1
76561198062403736,Left 4 Dead 2,1
76561198073642113,PAYDAY 2,3
76561198211433640,Squishy the Suicidal Pig,5
hididdlyhoe,Warframe,5
76561198027225504,Town of Salem,1
dicksoutforboromir,Counter-Strike: Global Offensive,1
probotsteve,Watch_Dogs,1
76561197977543317,Brütal Legend,1
BrutalLegend69,Dark Void Zero,2
76561198007539695,Defy Gravity,1
76561198064026657,Dwarfs F2P,5
76561198024450886,IMSCARED,5
saint556,Dark Souls: Prepare to Die Edition,1
Brayneeah,Thomas Was Alone,5
brettebear,Counter-Strike: Global Offensive,3
metiqu,Unturned,3
Brianseb,Angry Video Game Nerd Adventures,5
spike_heart,Commandos 2: Men of Courage,5
brocky0405,The Elder Scrolls V: Skyrim,1
76561198046094676,Time Clickers,5
Vladimirputinisgreatman,Counter-Strike: Global Offensive,5
Br0wni3,Magic Duels,3
76561198079351819,Realm of the Mad God,5
76561198093381429,Call of Duty: World at War,5
76561198110065267,Altitude,5
76561198059167106,Magicite,3
76561198105270589,Brawlhalla,5
Trutle,"Warhammer 40,000: Regicide",5
BugsyBro,Warframe,1
Jyep,Depth,5
76561198074561346,Plague Inc: Evolved,3
76561198094074209,Mandagon,5
BurningCassette,Loadout,5
76561198087011672,Planet Explorers,5
busternut,DayZ,5
Butteryyy,Terraria,1
76561198079326390,The Witcher 3: Wild Hunt,3
76561198142749308,Rust,5
897w463824638109276,Universe Sandbox,5
Butterz,Rust,5
8789568,Warframe,3
76561198112547239,The Long Dark,1
ByzGirl,Realm of the Mad God,3
C14M8S,Starbound,3
1122305938,Path of Exile,5
76561198069050565,Cities: Skylines,5
Cabey64,Nidhogg,5
Cabjoy,ARK: Survival Evolved,2
76561198082278758,Magicka,5
Stormaggen,Deus Ex: Human Revolution - Director's Cut,5
gusvu,METAL GEAR SOLID V: THE PHANTOM PAIN,1
Punixa,RWBY: Grimm Eclipse,5
76561198051084367,Of Guards And Thieves,5
76561198044402508,"Sir, You Are Being Hunted",5
76561198081987102,Fallout: New Vegas,5
calii,Guns of Icarus Online,5
76561198084718144,"Warhammer® 40,000™: Dawn of War® II – Retribution™",5
76561198077034833,Beat Hazard,5
calypto52,Pro Gamer Manager,1
camduman,Surgeon Simulator,5
camquarter,Mortal Kombat Kollection,2
aquelecaraqfazaquilo,Garry's Mod,5
76561198079009374,Shadowrun Chronicles - Boston Lockdown,5
76561197992910116,Far Cry® 3,5
jonjon4351,Fallout: New Vegas,3
76561198008551473,The Elder Scrolls V: Skyrim,5
ThePyrite99,DayZ,1
76561198062276935,Rust,1
CAPTAINVRITRAS,Undertale,5
ConkerBirdy,Terraria,5
76561198078194423,Garry's Mod,5
76561198067657905,Emily is Away,1
76561198070072786,Counter-Strike: Global Offensive,1
76561197966764681,The Long Dark,1
76561198007988939,Odysseus: Long Way Home,5
76561197996092338,Garry's Mod,5
carouserwhite,Rust,1
76561198045631910,PlanetSide 2,5
76561198078670623,Mortal Online,5
Lord_Casso,Stardew Valley,5
76561198058789410,Mount & Blade: Warband,5
76561198070087725,Dino D-Day,1
fsfs546hd,Godus,1
76561198045283919,SpeedRunners,3
76561198081438874,Command and Conquer: Red Alert 3,5
76561198072411281,Age of Empires® III: Complete Collection,5
76561198032143135,Arma 3,5
CrazyGiraffe71,Brütal Legend,5
chalkmetal,Spelunky,5
kggj,Insurgency,3
elheat,Warframe,5
ElementalGodChaos,Blackguards,5
76561197971917242,Counter-Strike: Global Offensive,1
melonmaniac,Terraria,5
76561198048491595,Counter-Strike: Global Offensive,5
76561198074108172,XCOM: Enemy Unknown,5
charmaps5,Counter-Strike: Global Offensive,2
mexz1999,Robocraft,1
IchMasKung,Don't Starve,3
HoxtonPleaseDontSueMe,Rust,3
76561198051215704,Robocraft,4
76561198058842042,Spiral Knights,1
76561198074291619,The Elder Scrolls V: Skyrim,5
cheetahpocalypse,Hurtworld,1
Axzothrift,Brawlhalla,5
76561198283109848,GRIP,5
Chermoil,Unturned,3
harharharharhar,Tabletop Simulator,5
chicken_tonight,Bastion,5
chidvd,Warframe,3
76561198056960847,Aftermath,2
76561198052700471,Hearts of Iron III,2
76561198097450390,Tom Clancy's The Division,4
76561197981448997,Goat Simulator,1
aerpub,Robocraft,3
76561198078733772,Terraria,5
76561198061273070,Tribes: Ascend,5
SmeshDoge,Counter-Strike: Global Offensive,5
76561198037342853,Castle Crashers,5
76561198062869989,Golf With Your Friends,3
harrisonnorris,Garry's Mod,1
76561198142474106,Saints Row IV,5
Los_Shmurdos,NAM,3
ciborg2000,Arma 2: Operation Arrowhead,5
Mikinmash,STEINS;GATE,5
76561198060510583,Total War: WARHAMMER,5
Norf_Norf,No Man's Sky,4
76561198041840982,Five Nights at Freddy's,4
76561198056339034,Simply Chess,5
OfficialSenix,BioShock Infinite,3
mike14476,SUPERHOT,5
kelby003,Terraria,5
Clawz3z,Bad Rats,1
76561198071207551,Left 4 Dead 2,5
76561198061039259,UberStrike,5
76561198074202726,Garry's Mod,1
76561198074347537,Counter-Strike: Global Offensive,5
SurfChicken,War Thunder,1
76561198126142125,Counter-Strike: Global Offensive,2
Clouwolf,Rocket League,5
76561198043339975,Codename CURE,3
69bmw,Counter-Strike: Global Offensive,5
76561198067414480,Far Cry® 3 Blood Dragon,1
76561198078246064,PAYDAY 2,5
iamshingo,"Papers, Please",5
Rafantasma,XCOM: Enemy Unknown,5
SupermanSocks17,WWE 2K16,5
76561198061456632,Cry of Fear,5
76561198049614185,Killing Floor Mod: Defence Alliance 2,5
76561198046958203,Call of Duty: Black Ops II,1
UnseenEvangelist,Fallout 4,1
jichaelcoaching,theHunter,1
CompoBlue,Town of Salem,1
76561198172099661,Don't Starve,5
ConjuredMadness,Don't Starve,1
cookieblade,Counter-Strike: Global Offensive,5
coolslayer666,Counter-Strike: Global Offensive,1
cheese_is_illuminati,Darkest Dungeon,4
76561198042756236,NBA 2K14,5
ndrss,Fallout: New Vegas,3
76561198081677554,Grand Theft Auto V,3
76561198091515229,Kung Fury,5
NotJustAnyOrange,Path of Exile,5
Cosmonaut123456789,Fallout 4,5
76561197971591275,Sakura Clicker,2
TheCheekyOne,Counter-Strike: Global Offensive,5
aProfileInTheMidOfNowhere,Call of Duty: Black Ops II,5
76561198107928649,Company of Heroes 2,5
76561198056352983,Sakura Clicker,3
76561198104404617,Tales from the Borderlands,5
76561198071955492,FTL: Faster Than Light,5
76561198073799272,Call of Duty: Black Ops III,5
bruhbruhxd,Rust,3
Crazymac123,Terraria,5
76561198135673978,The Elder Scrolls Online: Tamriel Unlimited,1
76561198045148546,Farming Simulator 15,5
76561198077244610,Oh...Sir!,5
76561198063850360,Unturned,3
76561198080465715,Arma 2: Operation Arrowhead,5
CrimsonStormFTW,Test Drive Unlimited 2,1
76561198064305132,Ace of Spades,5
76561198067214601,StarForge,1
76561198017913139,The Binding of Isaac: Rebirth,5
OldLeakyBoat,PAYDAY 2,1
SSAANNEESS,Magic Duels,3
fatkris,Arma 3,3
cruzercru,Natural Selection 2,2
getyourmarsbar,No More Room in Hell,5
76561198107811819,Call of Duty: Black Ops,1
aweoplopo,Evolve Stage 2,1
76561198042921883,Carpe Diem,1
kanekicg,Sakura Clicker,3
76561198048024738,Sid Meier's Civilization V,5
76561198084976671,RAW - Realms of Ancient War,2
THE_ART_OF_FEEDING,Sid Meier's Civilization: Beyond Earth,3
Cynex_,Loadout,3
76561197995146150,How to Survive,5
76561198082559637,Loadout,3
76561198069345625,Call of Duty: Modern Warfare 2,5
D00MS,Arma 3,3
76561198059201575,South Park™: The Stick of Truth™,1
76561198060901683,Tomb Raider,5
76561198074763789,PAYDAY 2,1
DABLUICE,LEGO® MARVEL Super Heroes,5
BlitzGames,Counter-Strike: Global Offensive,1
DaftyTM,Robocraft,1
76561197992227006,Mount & Blade: Warband,1
76561198070775610,Garry's Mod,5
76561198012514677,Unturned,5
76561198053111161,FTL: Faster Than Light,1
76561197970691715,Rogue Legacy,1
76561198044888778,Unturned,3
mainkradxdxdx,Loadout,5
76561198101576470,DARK SOULS III,1
Dante69123,Blockstorm,5
Dantress,Robocraft,1
76561198079220364,Planetary Annihilation,5
DareTheSeal,Geometry Dash,5
blackcheeze,Total War: ATTILA,5
6dighero,Space Engineers,1
DarkDragonForce,This War of Mine,1
76561198044594262,Counter-Strike: Global Offensive,3
76561198136941803,Gnomoria,5
76561198021814659,The Expendabros,3
76561198078913614,Rise of Nations: Extended Edition,1
BOBROSSJPEGEXE,Unturned,1
blablabla174,Dark Souls: Prepare to Die Edition,5
fatppl,Evolve Stage 2,5
76561198050864519,Counter-Strike: Global Offensive,5
datts,Realm of the Mad God,5
sirkillsalot1337,Rust,5
76561198082545803,Starbound,3
76561198115099755,Counter-Strike: Global Offensive,5
76561198195091390,My Name is Mayo,3
damayo,Magicite,5
76561198084697858,DYNASTY WARRIORS 8: Xtreme Legends Complete Edition,1
76561198008827809,DARK SOULS™ II,5
76561198039605834,Tabletop Simulator,1
Yugm,PAYDAY 2,3
dblddr,The Binding of Isaac: Rebirth,3
deathbreath220,Super Amazing Wagon Adventure,5
76561198084112448,Edge of Space,1
76561198097730477,Counter-Strike: Global Offensive,3
DeepCrysis,Metro: Last Light Redux,5
shay181,STAR WARS™ Battlefront™ II,5
degen97,VR Regatta,5
76561197994831363,PAYDAY 2,1
deltalink21,Afterfall InSanity Extended Edition,1
Qzt,Ace of Spades,4
76561198052661205,Moirai,5
NZObiwan,ARK: Survival Evolved,1
76561198071716213,Counter-Strike: Global Offensive,5
76561198065988138,Metro 2033,5
Denied72,Tom Clancy's Ghost Recon Phantoms - NA,5
76561198034337192,Dead Island: Epidemic,4
76561198056953510,Counter-Strike: Global Offensive,5
76561198047363411,Blacklight: Retribution,1
76561198068479124,Empyrion - Galactic Survival,1
GetMLGRekt,Spiral Knights,5
BoyangBao,Middle-earth: Shadow of Mordor,1
meeman,Carnage Racing,3
fuzzygrilz,7 Days to Die,5
Derkness,Counter-Strike: Global Offensive,5
DerpyAura,Wargame: Red Dragon,5
76561198021745490,I am Bread,1
beepbeepimasheep,State of Decay,1
76561198032293266,Dirty Bomb,3
76561198057406795,Space Engineers,3
76561198074942714,Fistful of Frags,5
76561198091717988,Firefall,5
76561198126500843,Mighty No. 9,1
destruktikus,Space Engineers,5
76561198066881691,Castle Crashers,1
76561198042146054,Tom Clancy's Ghost Recon Phantoms - NA,1
76561198093191096,Counter-Strike: Global Offensive,3
Device600,Skullgirls,1
Devmabby,Counter-Strike: Global Offensive,5
76561197980614542,America's Army 3,2
76561197971532272,Company of Heroes,3
wenndiesoldaten,Counter-Strike: Global Offensive,5
TacticalLynx,Portal Stories: Mel,5
76561198114039731,Resident Evil 5 / Biohazard 5,5
digfernandes,ARK: Survival Evolved,5
ohplsguuby,Counter-Strike: Global Offensive,5
76561198071578365,Bleed,5
NathanielPeace,No Man's Sky,1
76561198054421576,PAYDAY 2,5
76561198072486822,Warframe,5
76561198099102298,Realm of the Mad God,5
76561198077992470,Life Is Strange™,5
76561198038374904,Beat Hazard,3
ShrikeShrikeShrikeShrikeShrike,Floating Point,5
efefuyg3g4u5u22u4yv,Terraria,1
76561198058711482,Counter-Strike: Global Offensive,3
dimitriirfan,BioShock Infinite,5
Dobble,"Dr. Langeskov, The Tiger, and The Terribly Cursed Emerald: A Whirlwind Heist",5
76561198023903233,Borderlands 2,1
KingOfOpportunity,Tom Clancy's Ghost Recon Phantoms - NA,1
76561198103858676,Serious Sam 3: BFE,1
76561198083029873,Ace of Spades,1
1920410,Counter-Strike: Global Offensive,5
76561198049760472,No More Room in Hell,5
6294421419,Don't Starve,3
76561198081443272,DayZ,3
regentorange,Trove,4
76561198120646995,Sid Meier's Civilization V,3
76561197990557433,PAYDAY 2,3
diglekango,DayZ,3
76561198055370293,Brick-Force,2
duzim,Alien: Isolation,5
76561197995098683,DayZ,5
DropBear99,Grand Theft Auto V,1
banjoabbyshelly,Besiege,5
durolan2535,Borderlands: The Pre-Sequel,5
whatcanisayimjusttoogood,Space Engineers,5
123repulseMe,XCOM 2,1
76561197969800840,Hand of Fate,5
Cab117,Hardland,5
DrVendax,War Inc. Battlezone,4
76561198090773476,Spore: Galactic Adventures,2
thedragon347,To the Moon,5
76561198015157743,Counter-Strike: Global Offensive,1
76561198073725626,Dungeon Defenders II,5
76561198084378649,ARK: Survival Evolved,5
76561198172455607,Counter-Strike: Global Offensive,3
DrMolo,Resident Evil Revelations 2 / Biohazard Revelations 2,3
76561198097534775,State of Decay,3
DrumEssence,Garry's Mod,3
ashley1222,PAYDAY 2,1
dubsdoge,Rocket League,5
76561198165512984,Batman: Arkham Asylum GOTY Edition,5
mrenigmate,Clicker Heroes,5
vitoprofile,Brawlhalla,5
Axe603,Space Engineers,5
76561198057119793,Omikron - The Nomad Soul,4
76561198090724989,Counter-Strike: Global Offensive,5
Congo-Jack,Counter-Strike: Global Offensive,1
